state,cx,cy,x,y,w,h,tails,is_stemmed,is_filled,is_sharped,is_flatted,is_naturaled,is_dotted,staff_pitch,pitch,total_pixel,label,duration,beat,sample_rate
1,2667,1167,2645,1147,47,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6786.0,F,1.0,19.625,66075
1,2669,1127,2646,1108,46,40,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,9.0,6788.0,A,2.0,19.625,83249
1,2835,1497,2811,1476,50,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,-5.0,6954.0,G,0.5,19.75,37083
1,2967,1478,2943,1458,50,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,7086.0,A,0.5,20.25,41624
1,3204,1590,3179,1570,51,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-8.0,-14.0,7323.0,Bb,0.5,20.625,22050
1,3204,1460,3180,1438,50,45,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-2.0,7323.0,Bb,2.0,20.625,44100
1,3204,1166,3180,1145,50,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7323.0,F,1.0,20.625,66075
1,3205,1072,3180,1052,50,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,7324.0,D,1.0,20.625,111125
1,3342,1572,3318,1551,50,45,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-7.0,-12.0,7461.0,C,0.25,20.75,24750
1,3424,1553,3400,1533,51,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-6.0,-10.0,7543.0,D,0.5,21.0,27781
1,3425,1166,3401,1145,50,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7544.0,F,0.5,21.0,66075
1,3425,1072,3400,1052,51,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,7544.0,D,0.5,21.0,111125
1,3556,1534,3532,1513,50,45,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.0,-8.0,7675.0,E,0.25,21.125,31183
1,3557,1166,3532,1145,50,45,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7676.0,F,0.25,21.125,66075
1,3557,1072,3532,1052,51,42,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,7676.0,D,0.25,21.125,111125
1,3703,1516,3680,1497,48,38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,-7.0,7822.0,F,1.0,21.375,33037
